idvariabel,variabel,definisi
1,Jenis dan jumlah industri,Mengetahui sejauh mana wilayah penelitian melakukan pergerakan ekonomi melalui industri
2,Kondisi industri,Mengetahui keadaan industri skala mikro dan kecil pada wilayah penelitian
3,Jenis dan jumlah entrepreneurship,Mengetahui sejauh mana wilayah penelitian melakukan pergerakan ekonomi melalui entrepreneurship
4,Kondisi entrepreneurship,Keadaan entrepreneurship pada wilayah penelitian
5,Tingkat kreativitas/ inovasi usaha,Mengetahui sejauh mana semangat masyarakat pada wilayah penelitian untuk berinovasi
6,Kondisi lokasi studi,Mengetahui sejauh mana wilayah penelitian menfokuskan ekonomi sebagai penggerak pengembangan kawasan
7,Adanya kontribusi ekonomi terhadap lingkup administrasi lainnya,Mengetahui sejauh mana wilayah penelitian berpartisipasi terhadap kegiatan ekonomi diluar kawasan
8,Kondisi sadar teknologi,Mengetahui keadaan masyarakat wilayah penelitian terhadap teknologi pendukung kehidupan sehari-hari
9,Kondisi penggunaan internet,Mengetahui kebiasaan masyarakat wilayah penelitian dalam pengunaan internet
10,"Kondisi sarana (balai, lapangan olahraga, warnet)",Ketersediaan dan pemeliharaan terhadap sarana
11,"Kondisi prasarana (air bersih, listrik, telepon, persampahan, sanitasi, drainase)",Ketersedian prasarana untuk memenuhi kebutuhan sehari-hari berdasarkan preferensi masyarakat
12,Kondisi jalan,Kondisi jalan yang memadai baik dari segi lebar maupun perkerasan untuk diakses
13,Kondisi kendaraan yang melewati,Mengetahui kendaraan apa saja yang mungkin melintas
14,Kondisi peraturan yang diterapkan pada kawasan,Mengetahui adanya ketentuan untuk kendaraan melintas yang disepakati bersama oleh masyarakat
15,"Tersedianya sarana (TPS, ruang terbuka bersama)",Ketersediaan sarana dalam aktivitas pengelolaan lingkungan
16,"Tersedianya prasarana (gerobak sampah, IPAL)",Ketersediaan sarana dalam aktivitas pengelolaan lingkungan
17,Adanya koordinasi warga mengenai pengelolaan lingkungan,Frekuensi koordinasi yang dilakukan masyarakat mengenai pengelolaan lingkungan
18,Tingkat pendidikan,Sejauh mana pengaruh tingkat pendidikan berpengaruh terhadap partisipasi masyarakat
19,Jenis dan jumlah macam kegiatan,Mengetahui sejauh mana kegiatan apa saja yang dikerjakan bersama atas wilayah penelitian
20,Kondisi kegiatan yang ada,Mengetahui keadaan masyarakat pasca kegiatan dan berdampak apa terhadap mereka
21,Open mind,Mengetahui sejauh mana masyarakat menerima atau mampu beradaptasi dengan hal-hal baru mengenai permukiman
22,Jenis dan jumlah pelaporan terkait kriminalitas,Mengetahui keamanan di wilayah penelitian
23,Kondisi kriminalitas,Sejauh mana kriminalitas berpengaruh terhadap wilayah penelitian
24,Fasilitas kesehatan,"Mengetahui ketersediaan sarana kesehatan atau tenaga kerja medis, jenis dan jumlah penyakit yang warga alami, serta kondisi warga terhadap lingkungan"
25,Fasilitas pendidikan,Mengetahui ketersediaan sarana pendidikan formal maupun non-formal
26,Fasilitas bangunan umum,Mengetahui ketersediaan sarana bangunan umum
27,Kondisi kegiatan wisata,Mengetahui sejauh mana wilayah penelitian dapat menarik pengunjung untuk mencari tahu keunikan kampung
28,Kondisi integrasi sosial dengan wilayah berbatasan,Mengetahui sejauh mana hubungan sosial antar kampung atau RT atau RW
29,Kondisi masyarakat,Mengetahui sejauh mana masyarakat mampu hidup berseiringan dengan perbedaan batas wilayah
30,Jumlah pelayanan pemerintah via online,Ketersediaan pelayanan pemerintah via online
31,Jumlah pengakses atau pengunjung laman pelayanan pemerintah,Mengetahui sejauh mana pelayanan pemerintah via online dapat digunakan oleh masyarakat pada wilayah penelitian
32,Kondisi tanggapan masyarakat atas pelayanan pemerintah via online,Sejauh mana pelayanan pemerintah via online tepat sasaran dan berfungsi secara baik
